sensor,rank_type,unique_id,score
Mat_Vrms,bottom,20240705113338_D4221160-17,-5.7124267
Mat_Vrms,bottom,20240427073043_D4121950-5,-5.697631
Mat_Vrms,bottom,20240711070056_D4242320-11,-5.6917167
Mat_Vrms,bottom,20240706053557_D415E9B0-5,-5.6728444
Mat_Vrms,bottom,20240331192719_D406EA20-23,-5.6720724
Mat_Vrms,bottom,20240711103311_D418EH90-3,-5.668411
Mat_Vrms,bottom,20240405035503_D343CTY0-10,-5.663056
Mat_Vrms,bottom,20240507121909_D4132270-17,-5.661284
Mat_Vrms,bottom,20240505044822_D4132210-22,-5.6535687
Mat_Vrms,top,20240112205651_D3489870AC-3,-3.9664025
Mat_Vrms,top,20240112234614_D34879Q0-1,-3.9547586
Mat_Vrms,top,20240113234141_D3508780-5,-3.9521198
Mat_Vrms,top,20240114195902_D3506370-5,-3.9442205
Mat_Vrms,top,20240113183029_D3511580-3,-3.912947
Mat_Vrms,top,20240512123715_D411E080-25,-3.8865654
Mat_Vrms,top,20240112184256_D3509720-23,-3.8823447
Mat_Vrms,top,20240112203246_D3498070-17,-3.879378
Mat_Vrms,top,20240112173719_D339FAZB-7,-3.8583517
Mat_Vrms,top,20240708003108_D419EK90-10,-3.8294034
Mat_VC1_Position,bottom,20240329062739_D4109220-9,-6.843692
Mat_VC1_Position,bottom,20240221051703_D4018520-5,-6.7175198
Mat_VC1_Position,bottom,20240107051301_D3485120-1,-6.690497
Mat_VC1_Position,bottom,20240327061126_D403E0R0-7,-6.4111285
Mat_VC1_Position,bottom,20240213051603_D401FZ70-3,-6.3350587
Mat_VC1_Position,bottom,20240706181126_D4231700-5,-6.3058343
Mat_VC1_Position,bottom,20240126051128_D3488070-3,-6.2525864
Mat_VC1_Position,bottom,20240127051304_D349YNE0-7,-6.1877103
Mat_VC1_Position,bottom,20240512061505_D410EM00-5,-6.1278896
Mat_VC1_Position,bottom,20240229051425_D351FVY0-2,-6.091657
Mat_VC1_Position,top,20240407014713_D347EFG0-8,-3.4327116
Mat_VC1_Position,top,20240311220627_D410RWC0-20,-3.4319558
Mat_VC1_Position,top,20240428164800_D410EQ00-19,-3.4307604
Mat_VC1_Position,top,20240414052456_D412YBN0-8,-3.4291801
Mat_VC1_Position,top,20240502235037_D418YHK0-24,-3.4233646
Mat_VC1_Position,top,20240301023956_D4048050-11,-3.418888
Mat_VC1_Position,top,20240430222716_D4132110-3,-3.4165115
Mat_VC1_Position,top,20240319183316_D402EPR0-24,-3.4119081
Mat_VC1_Position,top,20240315074421_D4068010-9,-3.381426
Mat_VC1_Position,top,20240125043835_D349EL00-1,-3.3809905
Mat_VC2_Position,bottom,20240427073043_D4121950-5,-5.210337
Mat_VC2_Position,bottom,20240708141613_D4216010-21,-5.206026
Mat_VC2_Position,bottom,20240213051603_D401FZ70-3,-5.16503
Mat_VC2_Position,bottom,20240506135809_D4119650-8,-5.1366963
Mat_VC2_Position,bottom,20240308060121_D4059450-12,-5.1150103
Mat_VC2_Position,bottom,20240213070319_D4024110-19,-5.101212
Mat_VC2_Position,bottom,20240413152018_D405E770-4,-5.098006
Mat_VC2_Position,bottom,20240221051703_D4018520-5,-5.0934405
Mat_VC2_Position,bottom,20240426223511_D417YH10-19,-5.0882864
Mat_VC2_Position,bottom,20240220023533_D4024170-5,-5.0778103
Mat_VC2_Position,top,20240119221743_D3508670-19,-3.4120026
Mat_VC2_Position,top,20231231162108_D3468610-13,-3.396898
Mat_VC2_Position,top,20240411113446_D404E370-7,-3.396547
Mat_VC2_Position,top,20240129205755_D3528230-7,-3.3869207
Mat_VC2_Position,top,20240509032220_D418R9K0-1,-3.3864086
Mat_VC2_Position,top,20240126180241_D349EM10-5,-3.3129501
Mat_VC2_Position,top,20240112123148_D344FJQ0-2,-3.2672188
Mat_VC2_Position,top,20240508112659_D4142470-1,-3.1724598
Mat_VC2_Position,top,20240509174808_D405TVU0-1,-2.953245
Mat_VC2_Position,top,20240311210432_D3458750-13,-2.836244
SourcePwr_Read,bottom,20240510215245_D4108380-12,-4.497449
SourcePwr_Read,bottom,20240505194349_D409EJR0-20,-4.488412
SourcePwr_Read,bottom,20240329025844_D4089590-16,-4.463238
SourcePwr_Read,bottom,20240323032354_D4075740-23,-4.457752
SourcePwr_Read,bottom,20240429170827_D4118660-7,-4.4564757
SourcePwr_Read,bottom,20240305084247_D4059390-1,-4.4502125
SourcePwr_Read,bottom,20240304112147_D4038610-7,-4.45009
